目录,题目类型,大题题干,小题题型,小题题干,正确答案,答案解析,难易度,知识点,标签,选项数,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,选项I,选项J,选项K,选项L,选项M,选项N,选项O,选项P,选项Q,选项R,选项S,选项T,选项U,选项V,选项W,选项X,选项Y,选项Z
/第六章/6.4.3Kruskal算法,填空题,"写出下图由顶点Kruskal算法结果，每空形式如：（v1,v2,权值）。
",,,,,易,Kruskal算法,,5," （A,C,1）;（C,A,1）
","（E,C,2）;（C,E,2）
","（B,C,3）;（C,B,3）
","（B,D,5）;（D,B,5）
","（D,F,6）;（F,D,6）
",,,,,,,,,,,,,,,,,,,,,
/第六章/6.4.3Kruskal算法,填空题,"构造连通网最小生成树的两个典型算法是 （）算法和（）算法。
",,,,,易,最小生成树的概念;Prim算法的基本思想;Kruskal算法,,2,"Prim；普里姆
","Kruskal;克鲁斯卡尔
",,,,,,,,,,,,,,,,,,,,,,,,
/第六章/6.4.3Kruskal算法,单选题,"已知无向图 G 如下所示，使用克鲁斯卡尔（Kruskal）算法求图 G 的最小生成树，加入到最小生成树中的边依次是：
",,,A,,易,Kruskal算法,,4,"(b,f), (b,d), (a,e), (c,e), (b,e)
","
(b,f), (b,d), (b,e), (a,e), (c,e) 
","(a,e), (b,e), (c,e), (b,d), (b,f)
","(a,e), (c,e), (b,e), (b,f), (b,d)
",,,,,,,,,,,,,,,,,,,,,,
/第六章/6.4.3Kruskal算法,简答题,"给定如图所示的带权无向图G。
给出采用 Kruskal算法构造最小生成树的过程。

图 带权无向图
",,,A,,中,Kruskal算法,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
/第六章/6.4.3Kruskal算法,简答题,"给定如图所示的带权无向图G。

(1)画出该图的邻接表存储结构。
(2)根据该图的邻接表存储结构，从顶点0出发，调用DFS和BFS算法遍历该图，给出相应的遍历序列。
(3)给出采用 Kruskal算法构造最小生成树的过程。



图 带权无向图
",,,A,,中,Kruskal算法,,1,"1、


2、
从顶点0出发,DFS遍历序列为0,1,2,4,3,5,
       BFS遍历序列为0,1,2,3,4,5

3、",,,,,,,,,,,,,,,,,,,,,,,,,
/第六章/6.5.1.2迪杰斯特拉算法思想,填空题,用Dijkstra算法求源点到其余各顶点的最短路径是按路径长度____的次序进行的。,,,,,易,迪杰斯特拉算法思想,,1,递增,,,,,,,,,,,,,,,,,,,,,,,,,
/第六章/6.5.1.2迪杰斯特拉算法思想,单选题,迪杰斯特拉算法的核心思想是基于哪种策略？,,,A,迪杰斯特拉算法采用贪心策略，在每一步选择当前距离最短的未访问节点，并更新其邻居的距离。,中,迪杰斯特拉算法思想,,4,贪心策略,动态规划,回溯法,分支限界法,,,,,,,,,,,,,,,,,,,,,,
/第六章/6.5.1.2迪杰斯特拉算法思想,单选题,在迪杰斯特拉算法中，每次迭代选择的是哪个节点？,,,B,迪杰斯特拉算法在每一步迭代中选择距离源点最近的未访问节点，以保证全局最优解。,中,迪杰斯特拉算法思想,,4,距离源点最近的已访问节点,距离源点最近的未访问节点,具有最小边权值的节点,具有最大边权值的节点,,,,,,,,,,,,,,,,,,,,,,
/第六章/6.5.1.2迪杰斯特拉算法思想,判断题,迪杰斯特拉算法适用于含有负权边的图。,,,B,迪杰斯特拉算法不适用于含有负权边的图，因为贪心策略无法保证在这种情况下得到正确的最短路径。,中,迪杰斯特拉算法思想,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第六章/6.5.1.2迪杰斯特拉算法思想,判断题,迪杰斯特拉算法可以用于求解单源最短路径问题。,,,A,迪杰斯特拉算法正是用于解决单源最短路径问题的经典算法之一。,中,迪杰斯特拉算法思想,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第六章/6.5.1.2迪杰斯特拉算法思想,填空题,迪杰斯特拉算法通过维护一个集合S来记录已经找到最短路径的顶点，初始时集合S中只包含_______，并逐步将_______加入到集合S中。,,,,迪杰斯特拉算法通过贪心策略，每次将距离源点最近的未访问顶点加入集合S，从而逐步扩展最短路径。,中,迪杰斯特拉算法思想,,2,源点,距离源点最近的未访问顶点,,,,,,,,,,,,,,,,,,,,,,,,
/第六章/6.5.1.3迪杰斯特拉算法实现要点,填空题,"有向图G=(V,E),其中 V(G)={0,1,2,3,4,5}，用&lt;a,b,d&gt;三元组表示弧&lt;a,b&gt;及弧上的权d，E(G)为{&lt;0,5,100&gt;,&lt;0,2,10&gt;,&lt;1,2,5&gt;,&lt;0,4,30&gt;,&lt;4,5,60&gt;,&lt;3,5,10&gt;,&lt;2,3,50&gt;,&lt;4,3,20&gt;}，则从源点0到顶点3的最短路径长度是____，经过的中间顶点是____。",,,,,易,迪杰斯特拉算法实现要点,,2,50,④,,,,,,,,,,,,,,,,,,,,,,,,
/第六章/6.6.1.1有向无环图及其应用,填空题,"AOV网中,顶点表示____边表示 ____。AOE网中，顶点表示____，边表示____，边上的权代表____。 ",,,,,易,有向无环图及其应用,,1,活动;活动间的优先关系;事件 活动 活动持续时间,,,,,,,,,,,,,,,,,,,,,,,,,
/第六章/6.6.1.2拓扑排序及其实现方法,填空题,有向图G可拓扑排序的判别条件是____。 ,,,,,易,拓扑排序及其实现方法,,1,不存在环,,,,,,,,,,,,,,,,,,,,,,,,,
/第六章/6.6.1.2拓扑排序及其实现方法,多选题,"已知一个有向无环图，如下图所示，可能出现的拓扑序列为（）。请统一一下图的画法。
",,,ABCD,,易,拓扑排序及其实现方法,,4,"C4,C2,C0,C1,C5,C3
","C2,C4,C0,C1,C3,C5
","C4,C0,C3,C2, C1,C5
","C4,C2,C0,C3,C1,C5
",,,,,,,,,,,,,,,,,,,,,,
/第六章/6.6.1.2拓扑排序及其实现方法,简答题,"回答以下关于图的问题:

(1)有n个顶点的强连通图最多需要多少条边?最少需要多少条边？

(2)表示一个有1000个顶点、1000条边的有向图的邻接矩阵有多少个矩阵元素？

(3)对于一个有向图，不用拓扑排序，如何判断图中是否存在环？

",,,A,,易,,,1,"(1)有n个顶点的强连通图最多有n(n-1)条边(构成一个完全有向图的情况)最少有n条边(n 个顶点依次首尾相接构成一个环的情况)。

(2)这样的矩阵共有1000*1000个矩阵元素。

(3)对于有向图进行深度优先遍历。如果从有向图中某个顶点v出发的遍历DFS(v)，在访问顶点u后，又出现一条从顶点u到顶点v的回边，由于顶点u在生成树上是顶点v的子孙，则有向图中必定存在包含顶点v到顶点u的环。

",,,,,,,,,,,,,,,,,,,,,,,,,
/第六章/6.6.1.2拓扑排序及其实现方法,简答题,"简述图有哪两种主要的存储结构，并说明各种存储结构在图中的不同运算(如图的遍历、求最小生成树、最短路径和拓扑排序等)中有什么样的优越性?

",,,A,,易,,,1,"图的存储结构主要有邻接矩阵和邻接表。

(1)邻接矩阵:容易判定图中任意两个顶点之间是否有边相连，所以对于图的遍历是可行的。同时特别方便提取一条边的权值，所以在求最小生成树和最短路径时采用邻接矩阵作为存储结构。

(2)邻接表:容易找到任一顶点的所有邻接点，所以邻接表对于图的遍历也是可行的，并且方便拓扑排序。但要判断任意两个顶点i和j之间是否有边相连，则需搜索第i个及第 j个单链表，这一点不如邻接矩阵方便。

",,,,,,,,,,,,,,,,,,,,,,,,,
/第六章/6.6.1.3拓扑排序实现要点,填空题,在 AOV网 中，存在环意味着 ____，这是荒谬的;对程序的数据流图来说，它表明存在____。,,,,,易,拓扑排序实现要点,,2,某项活动以自己为先决条件,死循环,,,,,,,,,,,,,,,,,,,,,,,,
/第六章/6.6.1.3拓扑排序实现要点,填空题,"下面的邻接表存储的图，写出拓扑排序结果。
",,,,,易,拓扑排序实现要点,,1,"51248367
",,,,,,,,,,,,,,,,,,,,,,,,,
/第六章/6.6.1.3拓扑排序实现要点,填空题,"对下面的邻接矩阵，拓扑排序结果是什么？仅写顶点数字即可。

",,,,,易,拓扑排序实现要点,,1,"15367248
",,,,,,,,,,,,,,,,,,,,,,,,,
/第六章/6.6.2.1关键路径的概念,填空题,在AOE网中，从源点到终点路径上各活动时间总和最长的路径称 ____。,,,,,易,关键路径的概念,,1,关键路径,,,,,,,,,,,,,,,,,,,,,,,,,
/第六章/6.6.2.1关键路径的概念,判断题,在AOE网中仅存在一条关键路径。,,,B,,易,关键路径的概念,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第六章/6.6.2.1关键路径的概念,判断题,在AOE网中，任何一个关键活动提前完成，整个工期都会提前完成。,,,B,,易,关键路径的概念,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第六章/6.6.2.1关键路径的概念,判断题,关键路径是AOE网中从源点到汇点的最短路径。 ( ),,,B,,易,路径的相关概念,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第六章/6.6.2.1关键路径的概念,判断题,关键路径是AOE网中从源点到汇点的最长路径，可以计算完成工期所需要的最少时间。,,,A,,易,关键路径的概念,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.1查找的基本概念,填空题,按照查找表中的元素 是否发生变化，可以分成 ____和 ____两种。,,,,,易,查找的基本概念,,2,静态查找表,动态查找表,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.1查找的基本概念,填空题,能唯一的标识数据元素的数据项称为 ____;用以识别若干记录的关键字称为____。 ,,,,,易,查找的基本概念,,2,主关键字,次关键字,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.2.1.1静态查找表的类型定义与约定,多选题,关于下面描述正确的是( ),,,BCD,,易,静态查找表的类型定义与约定,,4,对静态查找表进行操作设计时包括插入操作,按主关键字查找结果唯一,查找表元素类型一致，可以顺序任意,若有定义SSTable ST; 则查找表的第一个元素关键字表示为ST.elem[1].key,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.2.1.1静态查找表的类型定义与约定,判断题,本章定义的静态查找表，本质上就是一个顺序表。,,,A,,易,静态查找表的类型定义与约定,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.2.2.1折半查找过程与算法,填空题,"在(a1, a2, a3, … , a128)使用折半查找法查找表中与给定值key相等的元素，在查找不成功的情况下，最多需要比较 ____次。 ",,,,,易,折半查找过程与算法,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.2.2.1折半查找过程与算法,简答题,"设计折半查找算法。
",,,A,,易,折半查找过程与算法,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.2.2.1折半查找过程与算法,简答题,"折半定位第一个大于x的记录。
",,,A,,易,折半查找过程与算法,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.2.2.1折半查找过程与算法,简答题,链式存储的有序表为什么不适合采用折半查找方法？,,,A,,中,折半查找过程与算法,,1,从有序表的折半查找原理可知，需要根据当前查找范围确定其上限、下限，并计算中间位置。对于链式存储的线性表只能快速确定链表表头位置，其余必须通过对链表的顺序查找方可实现，因而不适合使用折半查找方法。,,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.2.2.1折半查找过程与算法,简答题,假定对有序表为（1，3，8，10，15，28，32，45，53，62，78，92）进行折半查找，若查找45，需依次与哪些关键字进行比较？若查找60，需依次与哪些关键字比较？,,,A,,中,折半查找过程与算法,,1,"题中有序表的折半查找判定树如图所示。

图5答案图
根据折半查找判定树，若要查找45，则需经过比较的关键字序列为（28,53,32,45），若要查找60，则需经过比较的关键字序列为（28,53,78,62）。
",,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.2.2.1折半查找过程与算法,简答题,写出二分查找的递归算法。,,,A,,难,折半查找过程与算法,,1," int Search_Bin(SSTable ST,int key,int low,int high){
if(low&gt;high) return 0; //查找不到时返回0
mid=(low+high)/2;
if(ST.elem[mid].key==key) return mid;
else if(ST.elem[mid].key&gt;key)
return Search_Bin(ST,key,low,mid-1);
else return Search_Bin(ST,key,mid+1,high);
}
",,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.2.2.1折半查找过程与算法,简答题,"试编写一算法求出给定关键字所在结点在二叉排序树中所处的层次。
",,,A,,难,折半查找过程与算法,,1,"     int SearchBST (BiTree T, KeyType key){
if( (!T) return 0;
else{
if(EQ(key，T-&gt;data.key))
return 1;
else if(LT(key，T-&gt;data.key))
k= SearchBST(T-&gt;lchild，key);
else
   k= SearchBST(T -&gt;rchild，key);
if(k==0)
return 0;
else return k+1;
}
",,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.2.2.2折半查找性能分析与折半查找判定树,填空题,"在顺序存储的有序表(a1,, a2, a3, … , a20)上进行折半查找，比较一次查找成功的结点数为____，比较两次查找成功的结点数为 ____，比较四次查找成功的结点数为 ____，等概率查找成功时平均查找长度为____。",,,,,易,折半查找性能分析与折半查找判定树,,1,1;2;8;3;7,,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.2.2.2折半查找性能分析与折半查找判定树,单选题,折半查找顺序存储的有序表(5，6，10，15，20，31，52，74，88，99)，若查找58，则它将依次与表中的( )比较后，判断查找失败。,,,B,,易,折半查找过程与算法;折半查找性能分析与折半查找判定树,,4,20，74，31，52,31，74，52,20，52,31，88，52,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.2.2.2折半查找性能分析与折半查找判定树,多选题,下面叙述正确的是()。,,,BCDE,,易,折半查找过程与算法;折半查找性能分析与折半查找判定树,,5,折半查找时，关键字值本身直接影响查找的效率,折半查找时，关键字值本身直接影响查找的效率，查找成功时比较的次数就是该结点在折半查找判定树中的层数,查找不成功时，需要比较的次数是该结点在折半查找判定树中的层数,折半查找的效率比顺序查找高,成功查找时比较的次数不会超过深度,,,,,,,,,,,,,,,,,,,,,
/第七章/7.2.2.2折半查找性能分析与折半查找判定树,简答题,画出具有12个数据的有序查找表的折半查找判定树，并计算查找成功时的ASL。,,,A,,易,折半查找性能分析与折半查找判定树,,1,37/12,,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.2.2.2折半查找性能分析与折半查找判定树,填空题,"假定对有序表为（1，3，8，10，15，28，32，45，53，62，78，92）进行折半查找，若查找45，需依次与哪些关键字进行比较？若查找60，需依次与哪些关键字比较？，等概率下，查找成功时的ASL？查找失败时的ASL？
",,,,,易,折半查找性能分析与折半查找判定树,,4,"28,53,32,45
","28,53,78,62
","37/12
","49/13
",,,,,,,,,,,,,,,,,,,,,,
/第七章/7.2.2.2折半查找性能分析与折半查找判定树,判断题,折半查找判定树的查找效率，跟数据的值无关，跟数据存储的位置有关。,,,A,,易,折半查找性能分析与折半查找判定树,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.2.2.2折半查找性能分析与折半查找判定树,简答题,"画出对长度为10的有序表进行折半查找的判定树，并计算等概率时查找成功的ASL。
",,,A,,中,折半查找性能分析与折半查找判定树,,1,"长度为10的有序表折半查找判定树如图所示。

图   答案图
等概率查找成功时的ASL=",,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.2.2.2折半查找性能分析与折半查找判定树,简答题,"已知长度为12的表：(Jan，Feb，Mar，Apr，May，June，July，Aug，Sep，Oct，Nov，Dec)。
若对表中元素先进行排序构成有序表，求在等概率的情况下对此有序表进行折半查找时查找成功的平均査找长度。
",,,A,,中,折半查找性能分析与折半查找判定树,,1,"
等概率查找成功时的",,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.2.2.2折半查找性能分析与折半查找判定树,填空题,对于一个长度为  的有序表，构造其折半查找判定树时，根节点所对应的元素是 ______，该判定树的深度为 ______。,,,,折半查找判定树的构造方法是每次选取中间元素作为当前子树的根节点。对于长度为 11 的有序表，中间元素为第 6 个元素。该判定树的深度为 。,中,折半查找性能分析与折半查找判定树,,2,6,4,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.2.2.2折半查找性能分析与折半查找判定树,单选题,关于折半查找判定树的性质，下列说法中正确的是：,,,B,折半查找判定树的高度为  或 ，具体取决于查找表长度 。折半查找判定树不一定是完全二叉树，也不一定所有叶子结点在同一层。内部路径长度与平均查找长度有关，但不完全相同。,中,折半查找性能分析与折半查找判定树,,4,折半查找判定树一定是完全二叉树。,折半查找判定树的高度为 。,折半查找判定树的叶子结点一定位于同一层。,折半查找判定树的内部路径长度等于查找成功时的平均查找长度。,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.2.2.2折半查找性能分析与折半查找判定树,单选题,在折半查找判定树中，若查找表长度为 ，则查找成功的平均查找长度约为：,,,B,折半查找判定树的平均查找长度可以通过计算每个结点的查找路径长度之和除以  得到。对于 ，其判定树高度为 4，平均查找长度约为 3.5。,中,折半查找性能分析与折半查找判定树,,4,3,3.5,4,4.5,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.2.2.2折半查找性能分析与折半查找判定树,判断题,折半查找判定树的构造过程与二分法查找过程完全一致。,,,A,折半查找判定树的构造过程正是模拟了折半查找的过程，每次选取中间元素作为当前子树的根节点，左右子树分别对应左半区和右半区。,中,折半查找性能分析与折半查找判定树,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.2.2.2折半查找性能分析与折半查找判定树,判断题,折半查找判定树的内部路径长度与查找失败时的平均查找长度无关。,,,B,折半查找判定树的内部路径长度用于计算查找成功时的平均查找长度，而外部路径长度用于计算查找失败时的平均查找长度，两者密切相关。,中,折半查找性能分析与折半查找判定树,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.3.1.1二叉查找树的概念和查找过程,判断题,对一棵二叉排序树按前序方法遍历得出的结点序列是从小到大的序列。 ( ),,,B,,易,二叉树遍历的定义与策略;二叉排序树的概念和查找过程,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.3.1.1二叉查找树的概念和查找过程,判断题,对一棵二叉排序树按前序方法遍历得出的结点序列是从小到大的序列。,,,B,,易,二叉排序树的概念和查找过程,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.3.1.1二叉查找树的概念和查找过程,简答题,"二叉搜索树的非递归查找。
",,,A,,易,二叉排序树的概念和查找过程,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.3.1.1二叉查找树的概念和查找过程,简答题,什么是二叉排序树？什么是二叉平衡树？,,,A,,易,二叉排序树的概念和查找过程;平衡二叉树的概念,,1,二叉排序树又称二叉查找树。它或者是空树，或者是符合下列条件的二叉树： （1）如果它的左子树非空，则它的左子树上全部结点的值均小于根结点的值。 （2）如果它的右子树非空，则它的右子树上全部结点的值均大于根结点的值。 （3）它的左、右子树分别又是一棵二叉排序树。平衡二叉树（Balanced Binary Tree）又被称为AVL树，且具有以下性质：它是一棵空树或它的左右两个子树的高度差的绝对值不超过1，并且左右两个子树都是平衡二叉树。平衡二叉树是指其任一结点上的左子树和右子树的高度大致相等的二叉树。,,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.3.1.3 二叉查找树的插入算法,简答题,"给定一个关键字序列35,63,70,28,16,32,68，试生成一棵二叉排序树，并计算ASL。",,,A,,易,平衡二叉树平衡化的方法,,1,18/7,,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.3.1.3 二叉查找树的插入算法,判断题,二叉排序树的形态跟输入的顶点数据顺序相关。,,,A,,易,二叉排序树的插入算法,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.3.1.3 二叉查找树的插入算法,单选题,已知8个数据元素为(34，76，45，18，26，54，92，65)，按照依次插入结点的方法生成一棵二叉搜索树后，最后两层上的结点总数为( )。,,,B,,易,二叉排序树的插入算法,,4,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.3.1.3 二叉查找树的插入算法,单选题,"将{ 5, 11, 13, 1, 3, 6 }依次插入初始为空的二叉搜索树。则该树的后序遍历结果是( ) 。",,,C,,易,二叉树遍历的定义与策略;二叉排序树的插入算法,,4,"3, 1, 5, 6, 13, 11","1, 3, 11, 6, 13, 5","3, 1, 6, 13, 11, 5","1, 3, 5, 6, 13, 11",,,,,,,,,,,,,,,,,,,,,,
/第七章/7.3.1.3 二叉查找树的插入算法,单选题,下列给定的关键字输入序列中，不能生成如下二叉排序树的是:( ),,,B,,易,二叉排序树的概念和查找过程;二叉排序树的插入算法,,4,"4, 5, 2, 1, 3","4, 5, 1, 2, 3","4, 2, 5, 3, 1","4, 2, 1, 3, 5",,,,,,,,,,,,,,,,,,,,,,
/第七章/7.3.1.3 二叉查找树的插入算法,单选题,已知8个数据元素为(40，80，45，18，26，54，100，65)，按照依次插入结点的方法生成一棵二叉搜索树后，最后两层上的结点总数为( ),,,B,,易,二叉排序树的插入算法,,4,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.3.1.3 二叉查找树的插入算法,单选题,"将{ 5, 11, 13, 1, 3, 6 }依次插入初始为空的二叉搜索树。则该树的后序遍历结果是( )",,,C,,易,二叉树遍历的定义与策略;二叉排序树的插入算法,,4,"3, 1, 5, 6, 13, 11","1, 3, 11, 6, 13, 5","3, 1, 6, 13, 11, 5","1, 3, 5, 6, 13, 11",,,,,,,,,,,,,,,,,,,,,,
/第七章/7.3.1.3 二叉查找树的插入算法,单选题,"下列给定的关键字输入序列中，不能生成如下二叉排序树的是:
",,,B,,易,二叉排序树的插入算法,,4,"4, 5, 2, 1, 3","4, 5, 1, 2, 3","4, 2, 5, 3, 1","4, 2, 1, 3, 5",,,,,,,,,,,,,,,,,,,,,,
/第七章/7.3.1.3 二叉查找树的插入算法,简答题,"二叉搜索树的插入。
",,,A,,易,二叉排序树的插入算法,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.3.1.3 二叉查找树的插入算法,简答题,"二叉搜索树节点的插入非递归实现。
",,,A,,易,二叉排序树的插入算法,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.3.1.3 二叉查找树的插入算法,简答题," 已知长度为12的表：(Jan，Feb，Mar，Apr，May，June，July，Aug，Sep，Oct，Nov，Dec)。
试按表中元素的顺序依次插入到一棵初始为空的二叉排序树，画出插入完成之后的二叉排序树，并求其在等概率的情况下査找成功的平均查找长度。
",,,A,,中,二叉排序树的插入算法,,1,"

等概率查找成功时的",,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.3.1.3 二叉查找树的插入算法,简答题,在一棵空的二叉排序树中依次插入关键字序列为（21，33，8，14，35，5，48，4，1，26），画出最终得到的二叉排序树并计算等概率查找成功时的ASL。,,,A,,中,二叉排序树的概念和查找过程;二叉排序树的插入与递归查找算法的改进;二叉排序树的插入算法;二叉排序树不同位置结点删除的分析;二叉排序树删除算法;二叉排序树的效率分析,,1,"
等概率查找成功时的
",,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.3.1.4二叉查找树不同位置结点删除的分析,判断题,带有左右子树的二叉查找树的删除，既可以用被删结点的前驱替代，也可以用被删结点的后继替代。,,,A,,易,,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.3.1.4二叉查找树不同位置结点删除的分析,判断题,中序遍历下，二叉查找树任一结点的前驱是它左子树的右链尾，若为空，则无前驱。,,,A,,易,,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.3.1.4二叉查找树不同位置结点删除的分析,简答题,"二叉搜索树的删除结点算法设计。
",,,A,,难,二叉排序树的概念和查找过程;二叉排序树的插入与递归查找算法的改进;二叉排序树不同位置结点删除的分析,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.3.1.5二叉查找树删除算法,简答题,"画出下面二叉查找树删除50结点后的形态。
",,,A,,中,二叉排序树删除算法,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.3.1.5二叉查找树删除算法,简答题,"画出下面二叉查找树删除60结点后的形态
",,,A,,中,二叉排序树删除算法,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.3.1.5二叉查找树删除算法,简答题,"画出下面二叉查找树删除40结点后的形态.

",,,A,,中,二叉排序树删除算法,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.3.1.5二叉查找树删除算法,简答题,"画出下面二叉查找树删除25结点后的形态.

",,,A,,易,二叉排序树删除算法,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.3.1.5二叉查找树删除算法,简答题,"二叉搜索树的删除叶子。
",,,A,,易,二叉排序树删除算法,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.3.1.6二叉查找树的效率分析,填空题,若构建的二叉排序树为深度为n单支树，则等概率的查找成功时的平均查找长度为 ____，同 ____查找相同 。,,,,,易,二叉排序树的概念和查找过程;二叉排序树的效率分析,,2,(n+1)/2,顺序,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.3.1.6二叉查找树的效率分析,简答题,将下面数据元素画出二叉排序树，并计算ASL Jan、Feb、Mar、Apr 、May、Jun、Jul、Aug、Sept、Oct、Nov、Dec。,,,A,,易,二叉排序树的效率分析,,1,37/12,,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.3.1.6二叉查找树的效率分析,填空题,"在一棵空的二叉排序树中依次插入关键字序列为（21，33，8，14，35，5，48，4，1，26），写出查找48 和3的查找路径，并计算等概率查找成功时的ASL。
",,,,,易,二叉排序树的插入算法;二叉排序树的效率分析,,3,"21,33,35,48
","21,8,5,4,1
","3
",,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.3.1.6二叉查找树的效率分析,填空题,"若构建的二叉排序树为深度为n单支树，则等概率的查找成功时的平均查找长度为 ____ ，同 ____查找相同 。
",,,,,易,二叉排序树的效率分析,,2,"（n+1)/2
","顺序
",,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.3.1.6二叉查找树的效率分析,简答题,在一棵空的二叉排序树中依次插入关键字序列为（21，33，8，14，35，5，48，4，1，26），画出最终得到的二叉排序树并计算等概率查找成功时的ASL。,,,A,,中,二叉排序树的插入算法;二叉排序树的效率分析,,1,"
等概率查找成功时的ASL=",,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.3.2.1平衡二叉树的概念,判断题,对一棵平衡二叉树，所有非叶结点的平衡因子都是0，当且仅当该树是完全二叉树。,,,B,,易,平衡二叉树的概念,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.3.2.1平衡二叉树的概念,单选题,AVL树是一种平衡的二叉搜索树，树中任一结点具有下列哪一特性: ( ),,,B,,易,平衡二叉树的概念,,4,左、右子树的高度均相同,左、右子树高度差的绝对值不超过1,左子树的高度均大于右子树的高度,左子树的高度均小于右子树的高度,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.3.2.1平衡二叉树的概念,判断题,对一棵平衡二叉树，所有非叶结点的平衡因子都是0，当且仅当该树是完全二叉树。,,,B,,易,平衡二叉树的概念,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.3.2.1平衡二叉树的概念,判断题,平衡二叉树的本质是二叉查找树，只不过加了平衡因子的限制。,,,A,,易,平衡二叉树的概念,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.3.2.2平衡二叉树平衡化的方法,简答题,设要构造的平衡二叉树中各结点的值依次是 5、7、4、55、36、68给出构造过程，并指出每一次旋转的类型 。,,,A,,易,平衡二叉树平衡化的方法;平衡二叉树的构建实例与分析,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.3.2.2平衡二叉树平衡化的方法,填空题,下图属于（  ）类型的不平衡，平衡的策略是（   ）。,,,,,易,平衡二叉树平衡化的方法,,2,LL；,单向右旋；R旋转；R旋,,,,,,,,,,,,,,,,,,,,,,,,
/第七章/7.3.2.2平衡二叉树平衡化的方法,填空题,"下图是二叉平衡树上插入32后的结果，属于（  ）不平衡，处理的方式是（   ）。
",,,,,易,平衡二叉树平衡化的方法,,2,LR,先左旋再右旋；LR旋转,,,,,,,,,,,,,,,,,,,,,,,,
